timestamp, index, utilization.gpu [%], utilization.memory [%], pstate, temperature.gpu, memory.used [MiB], memory.free [MiB]
2020/05/01 13:47:21.097, 0, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:21.098, 1, 0 %, 0 %, P0, 27, 0 MiB, 32480 MiB
2020/05/01 13:47:21.099, 2, 0 %, 0 %, P0, 30, 0 MiB, 32480 MiB
2020/05/01 13:47:21.100, 3, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:21.101, 4, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:21.102, 5, 0 %, 0 %, P0, 32, 0 MiB, 32480 MiB
2020/05/01 13:47:21.103, 6, 0 %, 0 %, P0, 30, 0 MiB, 32480 MiB
2020/05/01 13:47:21.104, 7, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:21.104, 8, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:21.105, 9, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:21.106, 10, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:21.107, 11, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:21.108, 12, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:21.109, 13, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:21.110, 14, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:21.111, 15, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:26.112, 0, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:26.114, 1, 0 %, 0 %, P0, 27, 0 MiB, 32480 MiB
2020/05/01 13:47:26.115, 2, 0 %, 0 %, P0, 30, 0 MiB, 32480 MiB
2020/05/01 13:47:26.116, 3, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:26.116, 4, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:26.117, 5, 0 %, 0 %, P0, 32, 0 MiB, 32480 MiB
2020/05/01 13:47:26.119, 6, 0 %, 0 %, P0, 30, 0 MiB, 32480 MiB
2020/05/01 13:47:26.119, 7, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:26.120, 8, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:26.121, 9, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:26.122, 10, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:26.123, 11, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:26.124, 12, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:26.125, 13, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:26.126, 14, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:26.127, 15, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:31.128, 0, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:31.129, 1, 0 %, 0 %, P0, 27, 0 MiB, 32480 MiB
2020/05/01 13:47:31.130, 2, 0 %, 0 %, P0, 30, 0 MiB, 32480 MiB
2020/05/01 13:47:31.131, 3, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:31.132, 4, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:31.133, 5, 0 %, 0 %, P0, 32, 0 MiB, 32480 MiB
2020/05/01 13:47:31.134, 6, 0 %, 0 %, P0, 30, 0 MiB, 32480 MiB
2020/05/01 13:47:31.134, 7, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:31.135, 8, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:31.136, 9, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:31.137, 10, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:31.138, 11, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:31.139, 12, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:31.139, 13, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:31.140, 14, 0 %, 0 %, P0, 29, 0 MiB, 32480 MiB
2020/05/01 13:47:31.141, 15, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:36.142, 0, 0 %, 0 %, P0, 28, 0 MiB, 32480 MiB
2020/05/01 13:47:36.143, 1, 0 %, 0 %, P0, 27, 0 MiB, 32480 MiB
2020/05/01 13:47:36.144, 2, 0 %, 0 %, P0, 30, 0 MiB, 32480 MiB
